has_title,has_input,has_button,has_image,has_submit,has_link,has_password,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_th,number_of_tr,number_of_href,number_of_paragraph,number_of_script,length_of_title,has_h1,has_h2,has_h3,length_of_text,number_of_clickable_button,number_of_a,number_of_img,number_of_div,number_of_figure,has_footer,has_form,has_text_area,has_iframe,has_text_input,number_of_meta,has_nav,has_object,has_picture,number_of_sources,number_of_span,number_of_table,URL,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://bov-verify.web.app/,1
0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,4,3,3,5,10,5,0,1,1,1,741,0,2,9,17,0,0,0,0,0,0,3,0,0,0,0,8,1,https://uzxplaurmo.duckdns.org/,1
0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,4,3,3,5,10,5,0,1,1,1,741,0,2,9,17,0,0,0,0,0,0,3,0,0,0,0,8,1,https://adwfpvnqzm.duckdns.org/,1
1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,14,0,0,0,46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://libparis.fr/wp-content/uploads/dk/metamask/,1
1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,14,0,0,0,46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://libparis.fr:443/wp-content/uploads/dk/metamask/login/,1
1,1,0,0,1,1,1,0,1,0,0,10,0,0,0,24,0,0,6,1,6,16,0,1,0,407,0,27,1,32,0,0,1,0,0,1,6,0,0,0,0,9,0,http://facebook.friendlogin.npscience.com,1
0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,4,3,3,5,10,5,0,1,1,1,741,0,2,9,17,0,0,0,0,0,0,3,0,0,0,0,8,1,https://xcwihiswwm.duckdns.org/,1
1,1,1,0,0,1,1,1,0,0,0,2,2,0,0,0,0,0,2,0,3,8,0,1,0,237,0,2,1,13,0,0,1,0,0,0,2,0,0,0,0,0,0,http://facebook.ninjascrapers.com,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,2,5,18,0,0,0,47,0,1,1,24,0,0,0,0,0,0,16,0,0,1,4,2,0,https://coinbase-proxologin.godaddysites.com,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,2,5,18,0,0,0,47,0,1,1,21,0,0,0,0,0,0,16,0,0,1,4,2,0,https://coinbasepro-loginxo.godaddysites.com,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://outlook-doc-share.firebaseapp.com/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,28,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,https://outlook-docu-share.web.app/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,28,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,https://outlook-docu-share.firebaseapp.com/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,28,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,https://outlook-drive-0fg365e.web.app/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,28,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,https://outlook-drive-0fg365e.firebaseapp.com/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://page-scaffolding.web.app/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://page-scaffolding.firebaseapp.com/,1
1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,6,9,7,1,0,0,569,0,3,4,155,0,1,0,0,0,0,9,0,0,0,0,25,0,https://qseolpoi.web.app/,1
1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,6,9,7,1,0,0,569,0,3,4,155,0,1,0,0,0,0,9,0,0,0,0,25,0,https://qseolpoi.firebaseapp.com/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://rackspacetechnology-18447.web.app/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://rackspacetechnology-18447.firebaseapp.com/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,89,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,https://rscxepawnd.web.app/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,89,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,https://rscxepawnd.firebaseapp.com/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,109,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,https://sgndcarlo.web.app/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,109,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,https://sgndcarlo.firebaseapp.com/,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,14,22,8,81,1,1,1,4620,0,15,20,104,6,0,0,0,1,0,7,0,0,0,0,12,0,http://swapcakes.org,1
1,1,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,2,0,1,25,0,0,0,129,0,0,1,4,0,0,0,0,0,1,2,0,0,0,0,0,0,https://sgr55-5c31e.web.app/,1
1,1,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,2,0,1,25,0,0,0,129,0,0,1,4,0,0,0,0,0,1,2,0,0,0,0,0,0,https://sgr55-5c31e.firebaseapp.com/,1
1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,6,9,7,1,0,0,569,0,3,4,155,0,1,0,0,0,0,9,0,0,0,0,25,0,https://siop-az.web.app/,1
1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,6,9,7,1,0,0,569,0,3,4,155,0,1,0,0,0,0,9,0,0,0,0,25,0,https://siop-az.firebaseapp.com/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://site-development-hub.web.app/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://site-development-hub.firebaseapp.com/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://site-launchpad.web.app/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://site-launchpad.firebaseapp.com/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://stay-tuned-for-more.web.app/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://stay-tuned-for-more.firebaseapp.com/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://wait-and-see-approach.web.app/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://wait-and-see-approach.firebaseapp.com/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,16,0,0,0,62,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,https://meta-technical.com/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,16,0,0,0,62,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,https://meta-customerassist.com/,1
0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,4,3,3,5,10,5,0,1,1,1,741,0,2,9,17,0,0,0,0,0,0,3,0,0,0,0,8,1,https://ajqcnedlxf.duckdns.org/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,43,1,0,0,134,0,2,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,http://cdn-asti.com/,1
1,1,0,0,1,1,1,0,1,0,0,21,0,0,0,5,0,7,5,8,11,8,1,1,1,739,0,15,7,16,0,0,1,0,0,1,3,0,0,0,0,4,5,https://www.iyydyzhs.ml,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,25,1,0,0,124,0,0,1,2,0,0,0,0,0,0,6,0,0,0,0,2,0,https://r3480a9ec0-c1cf-11ed-a835-033d6cd60c9apersonas.tranbancolombia.repl.co/,1
